id,price,bedrooms,property_type,latitude,longitude
3273014,107.0,2,Entire home/apt,47.66155,-122.315
3273240,254.0,2,Entire home/apt,47.6002,-122.3338
3303376,102.0,1,Private room,47.55043,-122.31837
3303857,108.0,2,Entire home/apt,47.65707,-122.3166
3308979,699.0,2,Entire home/apt,47.63089,-122.36778
3312406,147.0,2,Entire home/apt,47.66074,-122.35705
3379116,236.0,2,Entire home/apt,47.64627,-122.32271
3385421,563.0,2,Entire home/apt,47.61088,-122.34389
3405896,133.0,2,Entire home/apt,47.55138,-122.37518
3441450,227.0,2,Entire home/apt,47.6076,-122.33938
3441487,170.0,2,Entire home/apt,47.60487,-122.32054
3478117,77.0,1,Private room,47.61458,-122.29492
3505739,387.0,2,Entire home/apt,47.57776,-122.40721
3505829,284.0,2,Entire home/apt,47.658749,-122.328133
3510818,256.0,2,Entire home/apt,47.67915,-122.37173
3543247,227.0,2,Entire home/apt,47.69589,-122.35908
3559811,108.0,2,Entire home/apt,47.66246,-122.31471
3673011,63.0,1,Private room,47.55822,-122.28444
3678718,119.0,2,Entire home/apt,47.66911,-122.37957
3679617,108.0,2,Entire home/apt,47.66314,-122.31304
3689461,163.0,2,Entire home/apt,47.61216,-122.32984
3706719,102.0,2,Entire home/apt,47.66157,-122.31288
3739681,122.0,2,Entire home/apt,47.66159,-122.33325
3766055,47.0,1,Private room,47.6813,-122.31159
3770248,113.0,2,Entire home/apt,47.66131,-122.31499
3772674,,2,Entire home/apt,47.67345,-122.39416
3818746,275.0,2,Entire home/apt,47.58366,-122.39911
3835995,114.0,2,Entire home/apt,47.67209,-122.36332
3861673,110.0,2,Entire home/apt,47.68551,-122.37523
3908378,111.0,2,Entire home/apt,47.67616,-122.36682
3921664,133.0,2,Entire home/apt,47.62415,-122.29188
3959460,,2,Entire home/apt,47.68012,-122.35336
3992155,65.0,2,Entire home/apt,47.6184,-122.34545
4000591,415.0,2,Entire home/apt,47.63846,-122.35247
4016079,216.0,2,Entire home/apt,47.65922546386719,-122.27165985107422
4026757,189.0,2,Entire home/apt,47.66667938232422,-122.33920288085938
4046863,225.0,2,Entire home/apt,47.66626739501953,-122.33902740478516
4053972,,2,Entire home/apt,47.6164,-122.28406
4069543,122.0,1,Private room,47.53106,-122.39281
4100009,94.0,2,Entire home/apt,47.66135,-122.35633
4113197,172.0,2,Entire home/apt,47.72293,-122.35426
4129218,124.0,2,Entire home/apt,47.62347412109375,-122.31898498535156
4137114,,2,Entire home/apt,47.61327,-122.3306
4165554,147.0,2,Entire home/apt,47.65836,-122.31606
4170863,125.0,2,Entire home/apt,47.60381,-122.29562
4211081,241.0,2,Entire home/apt,47.6226,-122.31708
4250367,800.0,2,Entire home/apt,47.62733,-122.35067
4263136,508.0,2,Entire home/apt,47.62664,-122.32823
4270642,104.0,2,Entire home/apt,47.66305,-122.31444
4279578,,2,Entire home/apt,47.68239,-122.32743
4286182,108.0,2,Entire home/apt,47.61329,-122.30005
4287974,148.0,2,Entire home/apt,47.67141,-122.27607
4324917,99.0,2,Entire home/apt,47.63166,-122.36083
4340838,119.0,2,Entire home/apt,47.66831,-122.32594
4364624,158.0,2,Entire home/apt,47.60847,-122.30688
4387557,151.0,2,Entire home/apt,47.64511,-122.3518
4400811,,2,Entire home/apt,47.57129,-122.29086
4405139,256.0,2,Entire home/apt,47.62074,-122.31667
4439293,156.0,2,Entire home/apt,47.61136,-122.32918
4440686,405.0,2,Entire home/apt,47.60947,-122.3447
4484426,152.0,2,Entire home/apt,47.66434,-122.30306
4550535,162.0,2,Entire home/apt,47.67675,-122.29071
4593608,475.0,2,Entire home/apt,47.67352,-122.31443
4599119,350.0,2,Entire home/apt,47.67334,-122.2892
4608208,90.0,1,Private room,47.66247,-122.40343
4630355,150.0,2,Entire home/apt,47.633526668239945,-122.34748
4653552,127.0,2,Entire home/apt,47.67169,-122.33479
4693488,123.0,2,Entire home/apt,47.68283,-122.35291
4711069,282.0,2,Entire home/apt,47.50889,-122.2594
4725935,52.0,1,Private room,47.62158,-122.3228
4752817,316.0,2,Entire home/apt,47.61318,-122.32859
4757025,,2,Entire home/apt,47.62332,-122.29081
4871348,108.0,2,Entire home/apt,47.65904,-122.34645
4872699,442.0,2,Entire home/apt,47.67578,-122.37813
4879013,137.0,2,Entire home/apt,47.66937,-122.32607
4881141,152.0,2,Entire home/apt,47.55978,-122.40234
4892357,103.0,2,Entire home/apt,47.61752,-122.2934
4956314,114.0,2,Entire home/apt,47.70804,-122.30773
4973204,244.0,2,Entire home/apt,47.62733,-122.35541
4983069,,2,Entire home/apt,47.61874,-122.31357
4993710,121.0,2,Entire home/apt,47.65313,-122.35301
5031383,50.0,2,Entire home/apt,47.59868,-122.32648
5052459,293.0,2,Entire home/apt,47.62992,-122.34463
5067177,,1,Private room,47.62334,-122.3226
5137315,67.0,1,Private room,47.66814,-122.28457
5174876,125.0,2,Entire home/apt,47.61539,-122.30026
5299060,76.0,2,Entire home/apt,47.56136,-122.36126
5328449,170.0,2,Entire home/apt,47.61269,-122.31336
5337848,128.0,2,Entire home/apt,47.70059,-122.31605
5362889,136.0,2,Entire home/apt,47.62092,-122.35752
5364244,119.0,2,Entire home/apt,47.68579,-122.39453
5372181,195.0,2,Entire home/apt,47.5817,-122.40223
5407311,124.0,2,Entire home/apt,47.66317,-122.30438
5470943,274.0,2,Entire home/apt,47.63044,-122.31008
5525073,174.0,2,Entire home/apt,47.65019,-122.34551
5581705,96.0,2,Entire home/apt,47.67312,-122.31603
5620306,126.0,1,Private room,47.62206,-122.36089
5652705,125.0,2,Entire home/apt,47.55484,-122.38512
5653726,145.0,2,Entire home/apt,47.65917,-122.31594
5680462,1226.0,2,Entire home/apt,47.63920211791992,-122.36585998535156
5682316,117.0,2,Entire home/apt,47.56125,-122.28947
5686435,595.0,2,Entire home/apt,47.64087,-122.36449
5749958,383.0,2,Entire home/apt,47.66839,-122.3679
5832908,98.0,2,Entire home/apt,47.58848,-122.30981
5882923,95.0,2,Entire home/apt,47.68275,-122.35492
5883409,107.0,2,Entire home/apt,47.65908,-122.31799
5900224,210.0,2,Entire home/apt,47.61385,-122.3479
